
 	optimizer	momentum	hidden	lr	epochs	final_train_loss	final_val_loss	best_val_loss	train_time_sec	parameters
0	sgd_momentum	0.90	128-64	1.000e-03	200	7.872	20.621	20.621	4.890	9,473
1	adam	0.00	128-64	1.000e-02	200	12.963	25.614	21.671	5.980	9,473
2	adam	0.00	64-64-32	1.000e-02	200	9.194	25.741	22.723	6.990	6,849
3	sgd_momentum	0.90	64-64-32	1.000e-03	200	11.025	28.777	22.823	6.010	6,849
4	sgd	0.00	128-64	3.000e-03	200	14.619	31.289	22.966	4.430	9,473
5	adam	0.00	64-64-32	3.000e-03	200	13.274	23.184	23.032	7.110	6,849
6	sgd_momentum	0.90	128-64	3.000e-03	200	5.453	25.332	23.201	4.970	9,473
7	sgd	0.00	128-64	1.000e-02	200	11.536	24.498	23.957	4.190	9,473
8	sgd	0.00	64-64-32	3.000e-03	200	9.508	31.180	24.114	4.900	6,849
9	sgd_momentum	0.90	64	3.000e-03	200	13.595	27.648	24.692	3.030	641
10	sgd	0.00	64-64-32	1.000e-03	200	29.656	35.794	26.062	5.070	6,849
11	adam	0.00	128-64	3.000e-03	200	14.750	27.304	27.068	6.270	9,473
12	sgd	0.00	128-64	1.000e-03	200	16.262	27.479	27.302	4.340	9,473
13	sgd	0.00	64	1.000e-02	200	25.790	28.104	27.944	2.840	641
14	adam	0.00	64-64-32	1.000e-03	200	18.433	30.405	30.161	6.650	6,849
15	sgd_momentum	0.90	64	1.000e-02	200	21.989	36.276	32.773	2.990	641
16	sgd	0.00	64	3.000e-03	200	25.041	38.325	34.070	2.790	641
17	adam	0.00	128-64	1.000e-03	200	27.231	34.317	34.238	6.290	9,473
18	sgd_momentum	0.90	64	1.000e-03	200	21.935	36.439	35.875	3.090	641
19	adam	0.00	64	1.000e-02	200	33.890	39.818	39.140	3.830	641
20	sgd	0.00	64	1.000e-03	200	49.832	48.831	48.831	2.800	641
21	adam	0.00	64	3.000e-03	200	60.233	68.454	68.454	3.430	641
22	adam	0.00	64	1.000e-03	200	113.841	121.220	121.220	4.400	641
23	sgd_momentum	0.90	64-64-32	3.000e-03	200	275.865	283.775	211.795	5.920	6,849
24	sgd_momentum	0.90	128-64	1.000e-02	200	272.978	284.359	283.154	4.930	9,473
25	sgd_momentum	0.90	64-64-32	1.000e-02	200	nan	nan	inf	5.430	6,849
26	sgd	0.00	64-64-32	1.000e-02	200	nan	nan	inf	4.880	6,849
